"Source:","/home/havard/Development/tdt4295/pcb/centrifuge_mcu/centrifuge_mcu.kicad_sch"
"Date:","Thu 29 Sep 2022 12:48:37 AM CEST"
"Tool:","Eeschema (6.0.7)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","114"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Purchase","Size","Threshold","Title","Tolerance"
"","","R101","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-072K2L/5896727","","","",""
"","","R102","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-072K2L/5896727","","","",""
"","","R103","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-072K2L/5896727","","","",""
"","","R104","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-072K2L/5896727","","","",""
"","","R105","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-072K2L/5896727","","","",""
"","","R106","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-072K2L/5896727","","","",""
"","","R107","5.6M","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RMCF0805FT5M60/1713201","","","","1%"
"","","R108","6.81k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RNCP0805FTD6K81/2240257","","1%","",""
"","","R109","22.1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RNCP0805FTD22K1/2240273","","1%","",""
"","","R110","33k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0733KL/5896774","","","","1%"
"","","R111","22.1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RNCP0805FTD22K1/2240273","","1%","",""
"","","R112","73.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/RC0805FR-0773K2L/728129","","1%","",""
"","","R113","22.1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RNCP0805FTD22K1/2240273","","1%","",""
"","","R114","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-07100KL/5896520","","","",""
"","","R115","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-07100KL/5896520","","","",""
"","","R116","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-07100KL/5896520","","","",""
"","","R117","30.1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/RC0805FR-0730K1L/727845","","","","1%"
"","","R118","22.1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RNCP0805FTD22K1/2240273","","","","1%"
"","","R119","73.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/RC0805FR-0773K2L/728129","","1%","",""
"","","R120","22.1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RNCP0805FTD22K1/2240273","","","","1%"
"","","R121","124k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RMCF0805FT124K/1760657","","","","1%"
"","","R122","22.1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/stackpole-electronics-inc/RNCP0805FTD22K1/2240273","","","","1%"
"","","R123","62","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0762RL/5896938","","","",""
"","","R124","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
"","","R125","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
"","","R126","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
"","","R127","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
"","","R128","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
"","","R129","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
"","","R130","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","https://www.digikey.no/no/products/detail/yageo/AC0805FR-0710KL/2827834","","","",""
